Ref_ID,Cell_area,Layer_1,Layer_1_material,Substrate_thickness,Layer_2,Layer_2_material,ETL_thickness,Layer_3,Layer_3_material,Perovskite_thickness,Layer_4,Layer_4_material,HTL_thickness,Layer_5,Layer_5_material,Backcontact_thickness
20,0.08,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0
22,0.04,Substrate,FTO,50.0,ETL,TiO2-c,80.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0
23,0.04,Substrate,FTO,50.0,ETL,TiO2-c,80.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0
24,0.04,Substrate,FTO,50.0,ETL,TiO2-c,80.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0
25,0.04,Substrate,FTO,50.0,ETL,TiO2-c,80.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0
26,0.04,Substrate,FTO,50.0,ETL,TiO2-c,80.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0
27,0.04,Substrate,FTO,50.0,ETL,TiO2-c,80.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,60.0
72,0.12,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,450.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0
89,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,90.0
90,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,90.0
91,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,90.0
169,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,70.0
170,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,70.0
171,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,70.0
267,0.1,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,300.0,HTL,Spiro-MeOTAD,50.0,Backcontact,Au,80.0
297,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0
391,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,100.0
411,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,320.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
412,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,320.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
413,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,320.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
414,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,320.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
415,0.1,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,320.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
475,0.1,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,70.0
529,0.09,Substrate,FTO,50.0,ETL,TiO2-c,70.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,250.0,Backcontact,Au,60.0
853,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
854,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
855,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
919,0.09,Substrate,FTO,50.0,ETL,TiO2-c,80.0,Perovskite,MAPbI3,550.0,HTL,Spiro-MeOTAD,160.0,Backcontact,Au,80.0
924,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
925,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
926,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
927,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
928,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
929,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
930,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
931,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
932,0.16,Substrate,FTO,50.0,ETL,TiO2-c,10.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
946,0.049,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,375.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,120.0
949,0.049,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,375.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,120.0
950,0.049,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,375.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,120.0
951,0.049,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,375.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,120.0
952,0.049,Substrate,FTO,50.0,ETL,TiO2-c,50.0,Perovskite,MAPbI3,375.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,120.0
1145,0.09,Substrate,FTO,50.0,ETL,TiO2-c,200.0,Perovskite,MAPbI3,400.0,HTL,Spiro-MeOTAD,200.0,Backcontact,Au,80.0
